Conc,Analytical K,Inc in A.k,Exp K,Inc in E.k
0,0.15,0,0.15,0
0.01,0.15443258,2.9551,0.152,1.3333
0.02,0.158953352,5.9689,0.156,3.9474
0.03,0.163564975,9.0433,0.161,7.0513
0.04,0.168270215,12.1801,0.166,9.9379
0.05,0.173071952,15.3813,0.172,13.2530
0.1,0.198637602,32.4251,0.192,24.4186
0.15,0.22712434,51.4162,0.22,36.4583
